_id	deputies	name	vote_stats.absent	vote_stats.abstain	vote_stats.no	vote_stats.yes	votes_share.absent	votes_share.abstain	votes_share.no	votes_share.yes
50e2e31b052d3f6fb58d1230	65	СР	39121	153	6472	55083	601.861538462	2.35384615385	99.5692307692	847.430769231
50e2e31b052d3f6fb58d1231	58	ЛДПР	43563	65	743	43737	751.086206897	1.12068965517	12.8103448276	754.086206897
50e2e31b052d3f6fb58d1232	254	ЕР	143002	196	8134	222676	563.0	0.771653543307	32.0236220472	876.677165354
50e2e31b052d3f6fb58d1233	93	КПРФ	55627	121	8752	80540	598.139784946	1.30107526882	94.1075268817	866.021505376
