href	name	url	color	vote_result	votes
/vote/78847	(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 98187-6 "О внесении изменений в Кодекс Российской Федерации об административных правонарушениях и отдельные законодательные акты Российской Федерации" (об установлении ответственности за нарушение требований к функционированию единой федеральной автоматизированной системы сведений о показе фильмов в кинозалах)	http://vote.duma.gov.ru/vote/78847	green	Принят|За: 375 чел (83%)	Против: 0, Воздержалось: 0
/vote/78849	(2 чтение таб. 2 отклонённые поправки) О проекте федерального закона № 617565-5 "О внесении изменений в Федеральный закон "Об объектах культурного наследия (памятниках истории и культуры) народов Российской Федерации" и Градостроительный кодекс Российской Федерации" (в части регулирования деятельности в границах исторического поселения)	http://vote.duma.gov.ru/vote/78849	green	Принят|За: 295 чел (66%)	Против: 0, Воздержалось: 0
/vote/78851	(2 чтение поправка №2 в новой редакции) О проекте федерального закона № 627764-5 "О внесении изменений в статьи 78 и 175 Уголовно-исполнительного кодекса Российской Федерации и статью 399 Уголовно-процессуального кодекса Российской Федерации" (о праве осужденного самостоятельно обращаться в суд с ходатайством об освобождении от отбывания наказания или о замене неотбытой части наказания более мягким видом наказания)	http://vote.duma.gov.ru/vote/78851	green	Принят|За: 388 чел (86%)	Против: 0, Воздержалось: 0
/vote/78853	О проекте федерального закона № 95061-6 "О ратификации Протокола о размещении объектов военной инфраструктуры на территориях государств - членов Организации Договора о коллективной безопасности"	http://vote.duma.gov.ru/vote/78853	green	Принят|За: 438 чел (97%)	Против: 0, Воздержалось: 0
/vote/78855	О проекте федерального закона № 93550-6 "О ратификации Протокола о внесении изменений и дополнений в Соглашение о применении специальных защитных, антидемпинговых и компенсационных мер по отношению к третьим странам от 25 января 2008 года"	http://vote.duma.gov.ru/vote/78855	green	Принят|За: 445 чел (99%)	Против: 0, Воздержалось: 0
/vote/78857	(второе чтение) О проекте федерального закона № 617565-5 "О внесении изменений в Федеральный закон "Об объектах культурного наследия (памятниках истории и культуры) народов Российской Федерации" и Градостроительный кодекс Российской Федерации" (в части регулирования деятельности в границах исторического поселения)	http://vote.duma.gov.ru/vote/78857	green	Принят|За: 354 чел (79%)	Против: 1, Воздержалось: 0
/vote/78859	Проект постановление (за основу) О проекте федерального закона № 143344-6 "О федеральном бюджете на 2013 год и на плановый период 2014 и 2015 годов"	http://vote.duma.gov.ru/vote/78859	green	Принят|За: 295 чел (66%)	Против: 143, Воздержалось: 0
/vote/78861	Проект постановление (в целом с учетом правки) О проекте федерального закона № 143344-6 "О федеральном бюджете на 2013 год и на плановый период 2014 и 2015 годов"	http://vote.duma.gov.ru/vote/78861	green	Принят|За: 296 чел (66%)	Против: 139, Воздержалось: 0
/vote/78863	(первое чтение) О проекте федерального закона № 143346-6 "О бюджете Федерального фонда обязательного медицинского страхования на 2013 год и на плановый период 2014 и 2015 годов"	http://vote.duma.gov.ru/vote/78863	green	Принят|За: 295 чел (66%)	Против: 92, Воздержалось: 0
/vote/78865	(первое чтение) О проекте федерального закона № 143348-6 "О приостановлении действия и признании утратившими силу отдельных положений законодательных актов Российской Федерации в связи с Федеральным законом "О федеральном бюджете на 2013 год и на плановый период 2014 и 2015 годов"	http://vote.duma.gov.ru/vote/78865	green	Принят|За: 239 чел (53%)	Против: 146, Воздержалось: 0
/vote/78867	(3 чтение) О проекте федерального закона № 122479-6 "О внесении изменений в Бюджетный кодекс Российской Федерации и признании утратившими силу отдельных положений законодательных актов Российской Федерации" (об установлении срока исковой давности по обязательствам перед Российской Федерацией)	http://vote.duma.gov.ru/vote/78867	green	Принят|За: 240 чел (53%)	Против: 0, Воздержалось: 0
/vote/78869	(первое чтение) О проекте федерального закона № 143350-6 "О внесении изменений в отдельные законодательные акты Российской Федерации по вопросам обязательного пенсионного страхования"	http://vote.duma.gov.ru/vote/78869	green	Принят|За: 235 чел (52%)	Против: 54, Воздержалось: 0
/vote/78871	Протокольное поручение депутатов Грачева,Крутова А.Д. и др.	http://vote.duma.gov.ru/vote/78871	red	Отклонен(не набран кворум)	За: 179, Против: 0, Воздержалось: 1
/vote/78816	(в целом) О проекте порядка работы Государственной Думы на 17 октября 2012 года	http://vote.duma.gov.ru/vote/78816	green	Принят|За: 362 чел (80%)	Против: 0, Воздержалось: 1
/vote/78820	(первое чтение) О проекте федерального закона № 121965-6 "Об образовании в Российской Федерации"	http://vote.duma.gov.ru/vote/78820	blue	Рейтинговое	За: 292, Против: 77, Воздержалось: 1
/vote/78822	(первое чтение) О проекте федерального закона № 121975-6 "О внесении изменений в отдельные законодательные акты Российской Федерации в связи с принятием Федерального закона "Об образовании в Российской Федерации" и признании утратившими силу некоторых законодательных актов Российской Федерации"	http://vote.duma.gov.ru/vote/78822	green	Принят|За: 294 чел (65%)	Против: 66, Воздержалось: 0
/vote/78824	(первое чтение) О проекте федерального закона № 79148-6 "О внесении изменения в статью 4 Федерального закона "Об общих принципах организации законодательных (представительных) и исполнительных органов государственной власти субъектов Российской Федерации" (в части регулирования условий осуществления депутатом депутатской деятельности)	http://vote.duma.gov.ru/vote/78824	red	Отклонен(не набран кворум)	За: 204, Против: 2, Воздержалось: 1
/vote/78826	(первое чтение) О проекте федерального закона № 53202-6 "О внесении изменения в статью 7 Федерального закона "Об общих принципах организации местного самоуправления в Российской Федерации" (о сроке приведения муниципальных правовых актов в соответствие с федеральными законами)	http://vote.duma.gov.ru/vote/78826	red	Отклонен(не набран кворум)	За: 59, Против: 0, Воздержалось: 0
/vote/78828	(первое чтение) О проекте федерального закона № 23504-6 "О внесении изменений в статью 11 Федерального закона "Об экологической экспертизе" и статью 49 Градостроительного кодекса Российской Федерации" (в части изменения перечня объектов государственной экологической экспертизы федерального уровня)	http://vote.duma.gov.ru/vote/78828	red	Отклонен(не набран кворум)	За: 60, Против: 0, Воздержалось: 0
